Programming Language,Questionnaires,Difficulty,Average Difficulty
Prolog,Concat atoms in prolog and exclude quotation marks in the answer,0.3352,0.2733
Prolog,Prolog - creating a new list of the elements from an original list after doubling each value?,0.4848,0.2733
Prolog,Automated query testing against a knowledge base in Prolog,0.3078,0.2733
Prolog,Prolog - Merging 2 lists gives me a list of lists instead of a single list,0.3886,0.2733
Prolog,prolog list insert at any position,0.1754,0.2733
Prolog,Prolog intersection list of lists,0.1833,0.2733
Prolog,Creating a mutually exclusive or in prolog,0.2211,0.2733
Prolog,Prolog With Lists,0.0879,0.2733
Prolog,Prolog - sum of list members,0.134,0.2733
Prolog,Delete 2nd and 3rd occurrence of an element,0.2205,0.2733
Prolog,Choice points and Redo's in Prolog,0.167,0.2733
Prolog,How can I write a rule that finds a number using integer/1?,0.3073,0.2733
Prolog,"Write a function accepting wrapped constants, but only one level deep",0.3612,0.2733
Prolog,Set size and position of gui elements,0.1873,0.2733
Prolog,Prolog - Working with a list of lists and an element inside one of the sublists,0.4138,0.2733
Prolog,Predicate about a list of lists,0.1535,0.2733
Prolog,how to show a rule in prolog by passing a list with more items,0.3274,0.2733
Prolog,Prolog - Adding elements from a list to another list without duplicates,0.3703,0.2733
Prolog,Prolog: How to create all possible permutations with repetition give a list of objects,0.4496,0.2733
Prolog,Prolog - ERROR: Out of local stack in linux,0.2121,0.2733
Prolog,prolog - DCG transformation,0.1834,0.2733
Prolog,How to express the allDifferent/6 predicate?,0.2314,0.2733
Prolog,Understand a simple recursion in prolog,0.2119,0.2733
Prolog,Creating a web based expert system using Prolog [closed],0.2907,0.2733
Prolog,Prolog (Sicstus) - nonmember and setof issues,0.2407,0.2733
Prolog,truthtable split in prolog,0.147,0.2733
Prolog,Write a set of prolog rules that returns a list which contains the larger item in each position in two lists of the same length?,0.6892,0.2733
Prolog,Prolog counting sort,0.121,0.2733
Prolog,Comparing a variable and a predicate in Prolog,0.2396,0.2733
Prolog,how to convert -> into clauses in prolog,0.1979,0.2733
Prolog,Define the predicate Prolog,0.1562,0.2733
Prolog,How to add CSS (w/ query results) into dynamic reply_html_page in Prolog?,0.3758,0.2733
Prolog,Filtering and modifiying a list in Prolog,0.2143,0.2733
Prolog,"Prolog, error with exclusive OR",0.1627,0.2733
Prolog,"Prolog - List manipulation, if--then--else, recursion",0.2762,0.2733
Prolog,Prolog: How to calculate depth of tree with an arbitrary amount of subtrees?,0.3953,0.2733
Prolog,Prolog undefined procedure when run in file,0.2279,0.2733
Prolog,"How to choose between bagof, setof and findall in Prolog",0.2896,0.2733
Prolog,Prolog - How to check if a list contains a certain item,0.2808,0.2733
Prolog,How write a rule to exit program in prolog?,0.2146,0.2733
Prolog,Prolog read_file_to_string/3,0.2095,0.2733
Prolog,Performance of the built-in Prolog predicate (is)/2,0.2605,0.2733
Prolog,Creating a set from a list in Prolog,0.176,0.2733
Prolog,"Make prolog ignore alternatives, but still backtrack",0.2855,0.2733
Prolog,How to make an operation to every element of a list,0.2625,0.2733
Prolog,Prolog and an Inference engine,0.1592,0.2733
Prolog,Select list out of a list?,0.1133,0.2733
Prolog,Prolog for a DNA sequence project,0.1681,0.2733
Prolog,Command for calling swi-prolog from php,0.2008,0.2733
Prolog,Prolog - Generate Unique Symbol,0.1817,0.2733
Prolog,Can anyone explain why im getting this out put for my prolog Query,0.346,0.2733
Prolog,Splitting list based on conditional atoms in prolog,0.2714,0.2733
Prolog,How to append numbers in a specific range to a list in prolog,0.3196,0.2733
Prolog,Prolog - family tree,0.106,0.2733
Prolog,Breadth First Search in Prolog,0.1592,0.2733
Prolog,Prolog: Many families written with lists. Questions answers only for last family writen,0.4534,0.2733
Prolog,"Prolog Compilation Error ""Undefined reference to predicate""",0.3297,0.2733
Prolog,Prolog find all positions in a list of the minimum element,0.3017,0.2733
Prolog,SWI Prolog usage of agregation,0.1592,0.2733
Prolog,Get longest list as goal in prolog,0.167,0.2733
Prolog,What is the difference between the keyword is and = in prolog?,0.3179,0.2733
Prolog,How to list all predicates that has an specific atom?,0.2722,0.2733
Prolog,Prolog: working with lists,0.1414,0.2733
Prolog,Numbers in a list smaller than a given number,0.2292,0.2733
Prolog,Adapting csv reading for multiple tables,0.2192,0.2733
Prolog,Reducing Complex DCGs Prolog,0.1654,0.2733
Prolog,What does `\+` signify as an operator in prolog?,0.2354,0.2733
Prolog,How to calculate factorial using prolog,0.2119,0.2733
Prolog,Scheduling tasks with shared resources using logic programming,0.3414,0.2733
Prolog,Prolog predicate with two lists,0.1672,0.2733
Prolog,How to compile picoProlog from source code?,0.2247,0.2733
Prolog,Prolog list unification,0.1542,0.2733
Prolog,Please explain this Turing Machine simulator written in Prolog,0.332,0.2733
Prolog,Generate a sublist in prolog given first element and length,0.3092,0.2733
Prolog,Remove duplicates and the original from a list [duplicate],0.3028,0.2733
Prolog,Implementing user-defined arithmetic functions,0.288,0.2733
Prolog,Recursion through a list in Prolog,0.1754,0.2733
Prolog,how to get the first name of all childs who are born before 1999 in prolog,0.3949,0.2733
Prolog,Sort a list by the second atom in functor,0.205,0.2733
Prolog,"Asymmetric binary relations, my code is not working good",0.2932,0.2733
Prolog,SWI-Prolog conditional inclusion in html//1,0.2247,0.2733
Prolog,Variable occurrence in a list of variables,0.2211,0.2733
Prolog,DCG for file output,0.0828,0.2733
Prolog,Prolog graph path search with cyclic path,0.2143,0.2733
Prolog,Splitting a single list into three in order using Prolog,0.2918,0.2733
Prolog,Prolog defining a male,0.1103,0.2733
Prolog,prolog variable not exist,0.1378,0.2733
Prolog,Why does my replace/2 program always return false?,0.2569,0.2733
Prolog,Prolog flatten accumulator vs hole,0.1914,0.2733
Prolog,"How do I find all solutions to a ""Generate and Test"" task in Prolog?",0.3535,0.2733
Prolog,How to run SWI-Prolog from the command line?,0.2206,0.2733
Prolog,Is it possible to implement some semantic like this in Prolog?,0.322,0.2733
Prolog,Prolog Mutual recursion,0.1542,0.2733
Prolog,Prolog - Summing numbers,0.1502,0.2733
Prolog,Check if two lists are different in prolog,0.2142,0.2733
Prolog,Comparing list element structures to each other in Prolog,0.3018,0.2733
Prolog,Returning a list of primes in Prolog,0.1805,0.2733
Prolog,How can I read in a filename in Prolog?,0.1904,0.2733
Prolog,The result of Sum is floor(Col + Row + 1) is never an integer and I don't know why,0.4412,0.2733
Prolog,Converting to unambiguous grammar from ambiguous grammar,0.3158,0.2733
Prolog,nth degree representing in prolog,0.1833,0.2733
Prolog,Where should I start learning jekejeke for prolog,0.2587,0.2733
Prolog,Prolog recursivly build list based on dot product,0.2587,0.2733
Prolog,Unifying a number to a list in Prolog,0.1823,0.2733
Prolog,"Prolog, testing labeling heuristics",0.224,0.2733
Prolog,Learning Prolog: solving a crossword scheme,0.2374,0.2733
Prolog,Working with findall and append,0.1672,0.2733
Prolog,Atoms and Integers in List in prolog,0.1805,0.2733
Prolog,Make some specific rules (if-then-else like) in Prolog Programming,0.3423,0.2733
Prolog,Prolog count list elements higher than n,0.2076,0.2733
Prolog,How do I define a binary operation on a set of numbers in prolog?,0.3413,0.2733
Prolog,Writing a factorial-like function (Prolog),0.2263,0.2733
Prolog,Finding the max in a list - Prolog,0.1605,0.2733
Prolog,Prolog why my function always evaluates to true,0.246,0.2733
Prolog,How to override a user predicate with a module,0.2352,0.2733
Prolog,"Prolog files: What does ""run ""swipl -f main.pl"""" mean?",0.2644,0.2733
Prolog,Parenthesis in j-prolog editor,0.1592,0.2733
Prolog,"Prolog/tuprolog, a single line that returns 'The enitire [sic] string could not be read as one term'",0.5223,0.2733
Prolog,"How to turn Prolog into preprocessor (kinda m4, gpp)?",0.2676,0.2733
Prolog,Prolog - findall function,0.1613,0.2733
Prolog,Prolog recursive predicate overwriting return values,0.3069,0.2733
Prolog,Finding query for which a prolog program gives incorrect result,0.3324,0.2733
Prolog,"Prolog: Create sublist, given two indices",0.219,0.2733
Prolog,Prolog fetch element in a sublist,0.1681,0.2733
Prolog,Finding root of file and read in Prolog,0.1951,0.2733
Prolog,Binary search tree: min element,0.1627,0.2733
Prolog,Save asserted facts in Prolog,0.1511,0.2733
Prolog,"constraint programming, repetition of number in a list, prolog",0.327,0.2733
Prolog,delay execution in prolog?,0.1414,0.2733
Prolog,Evaluation issue using accumulators in Prolog to evaluate a polynomial,0.373,0.2733
Prolog,How to generate a list of activable tasks in Prolog?,0.2664,0.2733
Prolog,Prolog search by same field in list,0.1738,0.2733
Prolog,Recursion and lists in Prolog,0.1511,0.2733
Prolog,Prolog - get X possible cards from a deck,0.2022,0.2733
Prolog,Infinite list of terminals – Prolog grammar rules,0.262,0.2733
Prolog,SWI-Prolog Emacs,0.0768,0.2733
Prolog,Getting an order into predicate resolution,0.2338,0.2733
Prolog,prolog convert numbers into roman numerals,0.2338,0.2733
Prolog,Test to see if all elements of list/variable are true,0.2737,0.2733
Prolog,Prolog query infinite search,0.1654,0.2733
Prolog,How to get variable in Prolog?,0.1425,0.2733
Prolog,Prolog four of a kind poker,0.1243,0.2733
Prolog,How similar are Relational Database Languages and Logic Programming?,0.3658,0.2733
Prolog,Find the shortest path between two nodes in a graph in Prolog,0.3182,0.2733
Prolog,State propagation during bactracking in Prolog,0.263,0.2733
Prolog,Prolog construction of a list using =../2,0.2015,0.2733
Prolog,setof/3 and NAF,0.046,0.2733
Prolog,three dependeant parameters in prolog,0.2155,0.2733
Prolog,"fit movies on dvd, working but style/code questions",0.263,0.2733
Prolog,Prolog: Matching One or More Anonymous Variables,0.2585,0.2733
Prolog,Prolog Basic Recursive Division,0.1929,0.2733
Prolog,How to access list permutations in prolog?,0.2179,0.2733
Prolog,Lazy lists in Prolog?,0.0955,0.2733
Prolog,adding elements in prolog,0.1378,0.2733
Prolog,Could you recommend a NLP toolkit in Prolog?,0.2241,0.2733
Prolog,PROLOG: Check if first list contains 3 times less of each element than second list,0.4305,0.2733
Prolog,hangman in prolog,0.0879,0.2733
Prolog,Prolog Insert list as element into another List,0.246,0.2733
Prolog,Discontiguous predicate warning from GNU Prolog,0.2703,0.2733
Prolog,Filtering elements from a list based on conditions in prolog,0.315,0.2733
Prolog,Is this code generated by expanding a Prolog DCG tail-recursive?,0.3332,0.2733
Prolog,Input stream - closing,0.1281,0.2733
Prolog,Set parameters dynamically in Prolog,0.2075,0.2733
Prolog,moving through a list,0.1011,0.2733
Prolog,prolog: subsets of length k,0.1305,0.2733
Prolog,Lists within lists in prolog,0.143,0.2733
Prolog,sign propagation algorithm in prolog,0.2075,0.2733
Prolog,prolog problem; displaying same rank universities,0.2812,0.2733
Prolog,who knows algorithm about stones and backpack?,0.245,0.2733
Prolog,prolog Existance error: procedure does not exist,0.2585,0.2733
Prolog,Matching Multiple Lists,0.1542,0.2733
Prolog,Programming deontic logic,0.1763,0.2733
Prolog,"What is more interesting or powerful: Curry, Mercury or Lambda-Prolog?",0.3627,0.2733
Prolog,How to find differences in lists in prolog and determine if the lists are the same (same elements but doesnt have to have the same order),0.734,0.2733
Prolog,What AI topic should i pick for my class project?,0.249,0.2733
Prolog,Complexity in Prolog programs?,0.1781,0.2733
Prolog,Prolog =:= operator,0.1297,0.2733
Prolog,Need help programming a list in Prolog,0.194,0.2733
Prolog,What is the simple way to find the max length of a list in prolog?,0.3497,0.2733
Prolog,Prolog combining predicates to d a search,0.2143,0.2733
Prolog,how do i flatten a complicate list in prolog?,0.2267,0.2733
Prolog,Writing a math function in Prolog,0.1681,0.2733
Prolog,Prolog Problem. I need help to solve this issue,0.2388,0.2733
Prolog,How do i get all combination in prolog?,0.1922,0.2733
Prolog,What minimal change to my code would make it preserve logical purity?,0.3597,0.2733
Prolog,I need to replace findall function with recursion in prolog [closed],0.3535,0.2733
Prolog,how can i retreive information from nested list prolog,0.2836,0.2733
Prolog,Get list of students who have taken a specific course,0.2744,0.2733
Prolog,How to search for a member in a 2-3 tree,0.201,0.2733
Prolog,"Prolog: How many prime numbers are in input list in range <2,20>",0.3302,0.2733
Prolog,Prolog Wumpus World Finding a path in an unknown X by X world,0.3196,0.2733
Prolog,Prolog list is odd | even,0.1099,0.2733
Prolog,Variable undeclared,0.1747,0.2733
Prolog,How to get all elements in a nested list where the first element of each list is a particular number?,0.5402,0.2733
Prolog,Count each element occurence in list in prolog?,0.2431,0.2733
Prolog,how do i delete char type in list in prolog?,0.22,0.2733
Prolog,Prolog User input data,0.1103,0.2733
Prolog,Zebra problem with modifications in prolog,0.2338,0.2733
Prolog,How can i filter a list by 2 conditions?,0.1964,0.2733
Prolog,Returning multiple values from a Prolog list,0.2346,0.2733
Prolog,Find smallest list under conditions,0.1994,0.2733
Prolog,How do i remove reverse dulpicate list from a list in prolog?,0.3163,0.2733
Prolog,knowledgment unification in prolog,0.2205,0.2733
Prolog,Removing duplicates in lists within a list,0.2211,0.2733
Prolog,Prolog problems {lists},0.1392,0.2733
Prolog,How to compare two lists in Prolog?,0.1705,0.2733
Prolog,Removing duplicates from list and returning modified list prolog,0.3441,0.2733
Prolog,how do i sum any elements in the list of lists and equal to 5 in prolog?,0.388,0.2733
Prolog,Creating a predicate that confirms if each element in a set of list are unique [closed],0.4565,0.2733
Prolog,Syntax error: Operator expected in Prolog [closed],0.2656,0.2733
Prolog,Prolog: Cast term into string?,0.1501,0.2733
Prolog,How can I return a list of numbers from a given list that mod 0 a target number?,0.4314,0.2733
Prolog,Prolog Sorting a List with each position having two elements,0.315,0.2733
Prolog,How can I find all the valid divisors (AKA A%B == 0) of a number?,0.3371,0.2733
Prolog,describe a predicate for consultation with this base to get exactly the same list,0.4254,0.2733
Prolog,RecallNumber in Aleph mode declarations,0.2316,0.2733
Prolog,How can I create a list of factors of a number?,0.2381,0.2733
Prolog,How can I generate a list of numbers in between two parameters?,0.3272,0.2733
Prolog,"Turn List into number, increment the number, and then turn the number into a list",0.4239,0.2733
Prolog,prolog store a list in a variable,0.1602,0.2733
Prolog,Prolog - Check if second list has all even numbers from the first list,0.3636,0.2733
Prolog,pick up even numbers from a list,0.1535,0.2733
Prolog,Prolog divisors,0.1155,0.2733
Prolog,Getting longest subsequence of even numbers in a list with Prolog,0.3408,0.2733
Prolog,Access to a number and a vector of an String in Prolog,0.2802,0.2733
Prolog,Longest sequence of even numbers in a list with prolog,0.2802,0.2733
Prolog,prolog how does a built in predicate get an existence_error?,0.3128,0.2733
Prolog,"Prolog, predicate returns the correct result, but also false?",0.3185,0.2733
Prolog,Implementing Reg. expression in prolog,0.2191,0.2733
Prolog,Prolog. How to return a list of integers between a range,0.2884,0.2733
Prolog,Insert zeros in a list on Prolog,0.1535,0.2733
Prolog,"listsum(L, S) succeeds iff L is a list of consecutive integers which must start at 1 and S is the sum of that list",0.6261,0.2733
Prolog,Delete from a list the non-duplicated items,0.2205,0.2733
Prolog,"(gnu) Prolog statement with ""or"" simple example",0.2421,0.2733
Prolog,"Even and odd elements from list and count elements up to specific index in list, but shows error",0.5082,0.2733
Prolog,Prolog is giving random numbers instead of string in read write command,0.3725,0.2733
Prolog,How i can connect Prolog and PyQT5,0.167,0.2733
Prolog,getting too many arguments error in prolog,0.2211,0.2733
Prolog,how do I solve an error in asking question in prolog?,0.2716,0.2733
Prolog,Incorrect output when trying to query in a depth first search implementation for prolog,0.4563,0.2733
Prolog,Incrementing datetime by second,0.1929,0.2733
Prolog,Unfulfillable distribution with prioritization,0.3306,0.2733
Prolog,Reverse Logic programme,0.1542,0.2733
Prolog,Evaluate rules in prolog,0.1287,0.2733
Prolog,Compare two solution in a prolog call,0.1873,0.2733
Prolog,Prolog predicate (division) that calculate the expression,0.3162,0.2733
Prolog,LCM of list PROLOG,0.0736,0.2733
Prolog,prolog empty list error when reversing a list,0.2332,0.2733
Prolog,tau prolog existence_error on tutorial example,0.263,0.2733
Prolog,How does unification algorithm actually work?,0.252,0.2733
Prolog,What does _ (Underscore) mean in this context in Prolog Amzi,0.3088,0.2733
Prolog,"In SWI Prolog, how can I prevent the interpreter from entering interactive mode during an error?",0.5011,0.2733
Prolog,Why does SWI-Prolog fail when mentioning a predicate without any facts in a rule?,0.4254,0.2733
Prolog,Find set of solutions and terminate in SWI-Prolog?,0.2569,0.2733
Prolog,"How to translate ""one of the ends"" of a list in Prolog?",0.28,0.2733
Prolog,"Prolog factorial recursion, How does it work?",0.235,0.2733
Prolog,How to add a time limit to find object in prolog game?,0.2784,0.2733
Prolog,Reverse List without duplicates ( convert it into Set ) -> Prolog,0.3327,0.2733
Prolog,Swiplserver: solving time problem wih much queries on multiprocessing application,0.4345,0.2733
Prolog,how to fix : ERROR: Unknown procedure: get_brother/0 (DWIM could not correct goal),0.4201,0.2733
Prolog,my function in prolog doesn't give the expected output,0.2802,0.2733
Prolog,Check two consecutives parameters in prolog,0.2411,0.2733
Prolog,"Argument is not instantiated, need it to start at zero but also be able to change it",0.4464,0.2733
Prolog,Prolog: Trying to determine if a person is a citizen of a certain country,0.3825,0.2733
Prolog,How to have a fact have multiple values in prolog?,0.2548,0.2733
Prolog,How to check place value of each digit in prolog?,0.249,0.2733
Prolog,How to Escape Double Quotes on Prolog Web Server,0.2473,0.2733
Prolog,Filter tuple facts to new list,0.1462,0.2733
Prolog,Send list from Python to Prolog PySwip,0.194,0.2733
Prolog,I need some ideea with a program in prolog with list,0.2681,0.2733
Prolog,How to add temporal variables to first-order logic formulas?,0.3128,0.2733
Prolog,Is it possible to write a prolog interpreter that avoids infinite recursion?,0.3977,0.2733
Prolog,SWI-Prolog reading a file for single digit numbers and adding them together,0.3935,0.2733
Prolog,Prolog unify List variables,0.1562,0.2733
Prolog,Divide list into sublists with specific sizes,0.2414,0.2733
Prolog,Define predicate from following the rules Prolog,0.2617,0.2733
Prolog,Delete items that occur an odd number of times in a list,0.2911,0.2733
Prolog,Performance Shortest path in GNU PROLOG,0.2119,0.2733
Prolog,What's the default SWI-Prolog font?,0.1705,0.2733
Prolog,How to query to sum facts in prolog?,0.1732,0.2733
Prolog,How to solve this puzzle using prolog?,0.1908,0.2733
Prolog,How to solve this puzzle with swiprolog?,0.2044,0.2733
Prolog,Package installation from git in SWI prolog,0.2279,0.2733
Prolog,How can I define Prolog rule to achieve bidirectional query?,0.3128,0.2733
Prolog,How to write a Prolog solver to solve this logic problem?,0.294,0.2733
Prolog,sing recursion method and returning a list in Prolog,0.2715,0.2733
Prolog,I am getting an error in prolog in vs code please check,0.2857,0.2733
Prolog,prolog query question in water and river decision by input a point with a shortest way,0.4543,0.2733
Prolog,Understanding Prolog exercise (removes all duplicates from a list),0.3512,0.2733
Prolog,Forward chaining in prolog with rules about lists,0.2587,0.2733
Prolog,SWI-Prolog stand alone executable,0.1833,0.2733
Prolog,Loading tau-prolog.js-packages in runtime?,0.2179,0.2733
Prolog,shortest path in GNU PROLOG,0.135,0.2733
Prolog,Print Answer using Facts,0.1287,0.2733
Prolog,Implement countall in prolog,0.1654,0.2733
Prolog,"error E;Test_Goal, pos: 910, 505 TypeError: Invalid variable type for this position in prolog",0.4815,0.2733
Prolog,Depth First Search in Prolog,0.143,0.2733
Prolog,"Tabling in Prolog, when are values stored?",0.2147,0.2733
Prolog,"Forward chaining in Prolog, problem with multiple rules",0.2941,0.2733
Prolog,One common hobby between two persons in Prolog,0.2396,0.2733
Prolog,"How can I apply Menu functionalities to buttons in WIN-PROLOG,",0.322,0.2733
Prolog,SWI Prolog - Combining elements from two lists into pairs,0.2968,0.2733
Prolog,Can the unification algorithm in Prolog recurse infinitely?,0.3195,0.2733
Prolog,Is my Prolog Code with the following Diagram and Truth Table correct?,0.3597,0.2733
Prolog,Python: convert dictionary from swiplserver,0.2593,0.2733
Prolog,How can I implement the below problem in prolog?,0.2448,0.2733
Prolog,SWIPL PROLOG as JSON Query,0.1269,0.2733
Prolog,Prolog list exercise,0.121,0.2733
Prolog,Find the exit to the labyrinth,0.1462,0.2733
Prolog,spilt list into to positive and negative lists in visual prolog,0.3296,0.2733
Prolog,Why is my prolog program stucked in endless recursion,0.2776,0.2733
Prolog,Convert FOPL expression to prolog,0.1833,0.2733
Prolog,How to determine if two propositional formulas are equivalent in Prolog?,0.3779,0.2733
Prolog,"DCG chain from facts, including ""not seen before"" condition",0.3064,0.2733
Prolog,Why is the variable NewBoard not being assigned?,0.2495,0.2733
Prolog,Prolog: if it isn't true continue to execute the program,0.2884,0.2733
Prolog,How does the predicate i/4 function in Prolog,0.2292,0.2733
Prolog,How to add an element to a list in prolog,0.2048,0.2733
Prolog,Why is my function returning a negative value?,0.2368,0.2733
Prolog,Implementation of forward chaining in prolog (SWI-Prolog),0.304,0.2733
Prolog,List_subset_of_list predicate with choice points?,0.3077,0.2733
Prolog,How to increment a variable during a recursion in Prolog?,0.2954,0.2733
Prolog,Prolog: Check if dictionary has special member,0.245,0.2733
Prolog,Give false if the element is an internal representation of a variable name in prolog,0.4421,0.2733
Prolog,How to write the output from a list with only atoms for win-prolog translator?,0.4103,0.2733
Prolog,"Stop recursively does not work in prolog (""x"" must hold one character)",0.3595,0.2733
Prolog,solving of equations by the Euler method in Prolog,0.2594,0.2733
Prolog,How to solve this exercise on Prolog?,0.1841,0.2733
Prolog,Prolog: Initialize predicate variables connected with operators correctly,0.4086,0.2733
Prolog,Can't get all result of query in prolog,0.1929,0.2733
Prolog,Prolog - get the greatest perimeter of triangles drawn with coordinates,0.3743,0.2733
Prolog,Prolog maplist on inner term?,0.1466,0.2733
Prolog,Best Practices for Prolog predicates definition,0.2703,0.2733
Prolog,Merging 2 lists into a third but in pairs,0.205,0.2733
Prolog,Manipulating lists through findall in prolog,0.2484,0.2733
Prolog,How do I get the index of a number in a list in Prolog?,0.2897,0.2733
Prolog,Creating a predicate that satisfy a specific combinations,0.3096,0.2733
Prolog,Prolog algorithm works for 4x4 but not for higher dimensions,0.315,0.2733
Prolog,How to delete entry from rdf file in prolog,0.2171,0.2733
Prolog,define predicate prolog by requirements,0.2316,0.2733
Prolog,Create rules from text Prolog,0.1511,0.2733
Prolog,create rules from sentence prolog,0.1833,0.2733
Prolog,Introducing non-ground vars into a Prolog query for a custom DSL query language,0.4151,0.2733
Prolog,"uncaught exception: error(instantiation_error,(is)/2)",0.2991,0.2733
Prolog,Restrict search in Prolog - Magic Sqare,0.2044,0.2733
Prolog,phrase_from_file and lazy_input,0.2427,0.2733
Prolog,Invert atoms from list to integers - Prolog,0.2214,0.2733
Prolog,How can I make this code asks each question once?,0.249,0.2733
Prolog,Using NOT in Pytholog,0.1011,0.2733
Prolog,Prolog: Predicate that checks yes \= yes outputs yes,0.2665,0.2733
Prolog,Can't check equality with unknowns in Prolog,0.2269,0.2733
